#coordinates: (min_x, min_y, max_x, max_y)
car_bsnzs(40) : (186.97100045358397, 41.22948619551786, 192.17101106783397, 43.22951379273005)
car_bsnzs(41) : (103.84899158573761, -5.1602168960519, 109.04899689284436, -3.160203097533784)
car_bsnzs(42) : (42.248991585737585, -4.41003689605191, 47.448996892844335, -2.4100230975337817)
car_toyota(1) : (-19.52000319689553, 41.591327524872085, -17.51999792314757, 46.791329553234405)
car_toyota(2) : (-23.790003196895526, 27.911327524872082, -21.789997923147574, 33.1113295532344)
car_toyota(3) : (-15.600003196895523, 32.97132752487209, -13.599997923147582, 38.17132955323441)
car_toyota(4) : (-3.170002107750922, -32.80122956407756, -1.1699967776243394, -27.601227514031198)
car_toyota(5) : (-11.340002107750923, -16.491329564077557, -9.339996777624343, -11.2913275140312)
car_toyota(6) : (-61.20133384145755, -2.439884337939195, -56.00132323665597, -0.43985676529313467)
car_toyota(7) : (-23.600103196895567, -67.92867247512795, -21.600097923147572, -62.72867044676561)
car_toyota(8) : (-15.270103196895555, -87.56867247512791, -13.270097923147581, -82.36867044676559)
car_toyota(9) : (3.1310758902475393, -104.23000633177878, 8.33108118786304, -102.22999255793806)
car_toyota(10) : (172.47132589024753, -92.70040633177885, 177.67133118786305, -90.70039255793807)
car_toyota(11) : (9.06112589024753, -93.04000633177884, 14.261131187863052, -91.03999255793806)
car_toyota(12) : (-7.150302107750935, -143.86132956407755, -5.150296777624334, -138.6613275140312)
car_toyota(13) : (-7.490322107750936, -155.33132956407755, -5.4903167776243365, -150.1313275140312)
car_toyota(14) : (154.51866615854243, -115.76001433793923, 159.71867676334404, -113.75998676529309)
car_toyota(15) : (160.41866615854244, -108.02101433793922, 165.61867676334404, -106.02098676529309)
car_toyota(16) : (109.57866615854245, -111.72001433793922, 114.77867676334402, -109.71998676529314)
car_toyota(17) : (219.40999789224918, -137.14132956407752, 221.41000322237568, -131.94132751403117)
car_toyota(18) : (219.50999789224917, -157.37232956407752, 221.51000322237567, -152.17232751403117)
car_toyota(19) : (215.49999789224918, -147.93132956407754, 217.50000322237568, -142.7313275140312)
